,0
0,0.6366666666666667
1,0.9255555555555557
2,0.9044444444444444
3,0.8944444444444445
4,0.8744444444444446
5,0.8944444444444445
6,0.8944444444444446
7,0.8944444444444445
8,0.9044444444444444
9,0.8944444444444445
10,0.8944444444444445
11,0.8944444444444446
12,0.8844444444444445
13,0.8944444444444445
14,0.8844444444444445
15,0.8944444444444445
16,0.9044444444444444
17,0.8944444444444446
18,0.8944444444444446
19,0.8844444444444445
20,0.8844444444444445
21,0.8944444444444445
22,0.8944444444444445
23,0.8944444444444446
24,0.8844444444444445
25,0.8944444444444446
26,0.8944444444444445
27,0.8744444444444446
28,0.9044444444444444
29,0.8844444444444445
