,0
0,0.9355555555555556
1,0.9066666666666666
2,0.9166666666666667
3,0.9588888888888889
4,0.9588888888888889
5,0.9377777777777778
6,0.9488888888888889
7,0.9588888888888889
8,0.9188888888888889
9,0.9388888888888889
10,0.9388888888888889
11,0.9488888888888889
12,0.9688888888888888
13,0.928888888888889
14,0.9588888888888889
15,0.9477777777777778
16,0.9488888888888889
17,0.9388888888888889
18,0.9488888888888889
19,0.9388888888888889
20,0.9388888888888889
21,0.928888888888889
22,0.9477777777777778
23,0.9488888888888889
24,0.9388888888888889
25,0.9588888888888889
26,0.928888888888889
27,0.9588888888888889
28,0.9688888888888888
29,0.9388888888888889
